Year,ICD10 Code_x,ICD10 Diagnosis_x,Diagnosis Type_x,Metric_x,Sex_x,Value_x,ICD10 Code_y,ICD10 Diagnosis_y,Diagnosis Type_y,Metric_y,Sex_y,Value_y,"Tobacco Price
Index","Retail Prices
Index",Tobacco Price Index Relative to Retail Price Index,Real Households' Disposable Income,Affordability of Tobacco Index,Household Expenditure on Tobacco,Household Expenditure Total,Expenditure on Tobacco as a Percentage of Expenditure,All Pharmacotherapy Prescriptions,Nicotine Replacement Therapy (NRT) Prescriptions,Bupropion (Zyban) Prescriptions,Varenicline (Champix) Prescriptions,Net Ingredient Cost of All Pharmacotherapies,Net Ingredient Cost of Nicotine Replacement Therapies (NRT),Net Ingredient Cost of Bupropion (Zyban),Net Ingredient Cost of Varenicline (Champix),Method,Sex,16 and Over,16-24,25-34,35-49,50-59,60 and Over
2014/15,All codes,All admissions,All admissions,Number of admissions,,11011882,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C33-C34 & C00-C14 & C15 & C32 & C53 & C67 & C64-C66 & C68 & C16 & C25 & C80 & C92 & J40-J43 & J44 & J10-J18 & I00-I09 & I26-I51 & I20-I25 & I72-I78 & I60-I69 & I71 & I70 & K25-K27 & K50 & K05 & H25 & S72.0-S72.2 & O03,All diseases which can be caused by smoking,All diseases which can be caused by smoking,Number of admissions,,1713330,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C00-D48,All cancers,All cancers,Number of admissions,,1691035,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,J00-J99,All respiratory diseases,All respiratory diseases,Number of admissions,,611002,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I00-I99,All circulatory diseases,All circulatory diseases,Number of admissions,,907157,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,K00-K93,All diseases of the digestive system,All diseases of the digestive system,Number of admissions,,1460719,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C33-C34,"Trachea, Lung, Bronchus",Cancers which can be caused by smoking,Number of admissions,,88408,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C00-C14,Upper Respiratory Sites,Cancers which can be caused by smoking,Number of admissions,,21715,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C15,Oesophagus,Cancers which can be caused by smoking,Number of admissions,,29703,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C32,Larynx,Cancers which can be caused by smoking,Number of admissions,,4625,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C53,Cervical,Cancers which can be caused by smoking,Number of admissions,,6559,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C67,Bladder,Cancers which can be caused by smoking,Number of admissions,,68257,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C64-C66 & C68,Kidney and Renal Pelvis,Cancers which can be caused by smoking,Number of admissions,,15426,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C16,Stomach,Cancers which can be caused by smoking,Number of admissions,,19125,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C25,Pancreas,Cancers which can be caused by smoking,Number of admissions,,26790,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C80,Unspecified Site,Cancers which can be caused by smoking,Number of admissions,,8245,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,C92,Myeloid Leukaemia,Cancers which can be caused by smoking,Number of admissions,,43135,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,J40-J43,Chronic Obstructive Lung Disease,Respiratory diseases which can be caused by smoking,Number of admissions,,5880,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,J44,Chronic Airway Obstruction,Respiratory diseases which can be caused by smoking,Number of admissions,,121947,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,J10-J18,"Pneumonia, Influenza",Respiratory diseases which can be caused by smoking,Number of admissions,,208759,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I00-I09 & I26-I51,Other Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,292146,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I20-I25,Ischaemic Heart Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,265514,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I72-I78,Other arterial disease,Circulatory diseases which can be caused by smoking,Number of admissions,,37759,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I60-I69,Cerebrovascular Disease,Circulatory diseases which can be caused by smoking,Number of admissions,,105932,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
2014/15,I71,Aortic Aneurysm,Circulatory diseases which can be caused by smoking,Number of admissions,,12166,,,,,,,,,,,,,,,1348.0,766.0,21.0,561.0,38145.0,18208.0,807.0,19129.0,,,,,,,,
